[2023-10-15 19:27:41] No settings files found: C:/Games/Mindustry/saves/settings.bin and C:/Games/Mindustry/saves/settings_backup.bin
[2024-06-04 22:08:25] Saving 874 values; 29541 bytes
[2024-06-04 22:11:50] Saving 874 values; 29541 bytes
[2024-06-04 22:12:12] Saving 875 values; 29561 bytes
[2024-06-04 22:12:13] Saving 875 values; 29561 bytes
[2024-06-04 22:18:37] Saving 875 values; 29561 bytes
[2024-06-04 22:18:38] Saving 876 values; 29589 bytes
[2024-06-04 22:20:46] Saving 876 values; 29589 bytes
[2024-06-04 22:20:55] Saving 876 values; 29600 bytes
[2024-06-04 22:20:58] Saving 877 values; 29616 bytes
[2024-06-04 22:21:03] Saving 877 values; 29604 bytes
[2024-06-04 22:21:04] Saving 878 values; 29708 bytes
[2024-06-04 22:28:17] Saving 882 values; 30749 bytes
[2024-06-04 22:28:30] Saving 882 values; 30749 bytes
[2024-06-04 22:28:30] Saving 882 values; 30749 bytes
[2024-06-04 22:28:30] Saving 882 values; 30749 bytes
[2024-06-04 22:28:33] Saving 882 values; 30749 bytes
[2024-06-04 22:28:35] Saving 882 values; 30749 bytes
[2024-06-04 22:28:40] Saving 882 values; 30749 bytes
[2024-06-04 22:30:23] Saving 882 values; 30749 bytes
[2024-06-04 22:52:29] Saving 883 values; 30835 bytes
[2024-06-04 22:52:30] Saving 883 values; 30835 bytes
[2024-06-04 22:54:40] Saving 883 values; 30835 bytes
[2024-06-04 22:54:44] Saving 883 values; 30835 bytes
[2024-06-04 22:54:53] Saving 883 values; 30835 bytes
[2024-06-04 22:54:55] Saving 883 values; 30769 bytes
[2024-06-04 22:54:56] Saving 883 values; 30769 bytes
[2024-06-04 22:54:57] Saving 883 values; 30769 bytes
[2024-06-04 22:54:58] Saving 883 values; 30769 bytes
[2024-06-04 22:54:58] Saving 883 values; 30769 bytes
[2024-06-04 22:54:58] Saving 883 values; 30769 bytes
[2024-06-04 22:54:59] Saving 883 values; 30769 bytes
[2024-06-04 22:54:59] Saving 883 values; 30769 bytes
[2024-06-04 22:55:00] Saving 883 values; 30769 bytes
[2024-06-04 22:55:00] Saving 883 values; 30769 bytes
[2024-06-04 22:55:00] Saving 883 values; 30769 bytes
[2024-06-04 22:55:03] Saving 883 values; 30769 bytes
[2024-06-04 22:55:03] Saving 884 values; 30850 bytes
[2024-06-04 23:09:24] Saving 888 values; 31898 bytes
[2024-06-04 23:37:44] Saving 888 values; 32036 bytes
[2024-06-04 23:41:33] Saving 888 values; 32050 bytes
[2024-06-05 00:09:16] Saving 888 values; 32121 bytes
[2024-06-05 00:09:31] Saving 888 values; 32121 bytes
[2024-06-05 00:23:37] Saving 890 values; 32193 bytes
[2024-06-05 00:54:51] Saving 893 values; 32145 bytes
[2024-06-05 01:29:02] Saving 893 values; 32145 bytes
[2024-06-05 01:29:04] Saving 893 values; 32145 bytes
[2024-06-05 01:29:05] Saving 893 values; 32145 bytes
[2024-06-05 01:29:07] Saving 893 values; 32145 bytes
[2024-06-05 01:29:08] Saving 893 values; 32145 bytes
[2024-06-05 01:29:12] Saving 893 values; 32199 bytes
[2024-06-05 01:29:14] Saving 894 values; 32220 bytes
[2024-06-05 01:29:14] Saving 894 values; 32220 bytes
[2024-06-05 01:29:14] Saving 894 values; 32220 bytes
[2024-06-05 01:29:17] Saving 894 values; 32220 bytes
[2024-06-05 01:29:17] Saving 894 values; 32220 bytes
[2024-06-05 01:29:17] Saving 894 values; 32220 bytes
[2024-06-05 01:45:36] Saving 894 values; 32325 bytes
[2024-06-05 01:56:47] Saving 895 values; 32391 bytes
[2024-06-05 02:00:14] Saving 895 values; 32290 bytes
[2024-06-05 02:00:19] Saving 895 values; 32279 bytes
[2024-06-05 02:00:22] Saving 895 values; 32253 bytes
[2024-06-05 02:00:22] Saving 895 values; 32253 bytes
[2024-06-05 02:00:22] Saving 895 values; 32253 bytes
[2024-06-05 02:00:25] Saving 895 values; 32268 bytes
[2024-06-05 02:00:25] Saving 895 values; 32268 bytes
[2024-06-05 02:00:25] Saving 895 values; 32268 bytes
[2024-06-05 02:51:12] Saving 895 values; 32511 bytes
[2024-06-05 02:51:22] Saving 895 values; 32511 bytes
[2024-06-05 02:51:27] Saving 895 values; 32511 bytes
[2024-06-05 02:51:54] Saving 895 values; 32511 bytes
[2024-06-05 02:52:10] Saving 895 values; 32511 bytes
[2024-06-05 02:52:47] Saving 895 values; 32511 bytes
[2024-06-05 02:52:51] Saving 895 values; 32511 bytes
[2024-06-05 02:52:59] Saving 895 values; 32523 bytes
[2024-06-05 02:53:06] Saving 895 values; 32468 bytes
[2024-06-05 02:53:07] Saving 896 values; 32562 bytes
[2024-06-05 02:56:30] Saving 898 values; 33596 bytes
[2024-06-05 03:24:38] Saving 899 values; 33727 bytes
[2024-06-05 03:24:43] Saving 899 values; 33703 bytes
[2024-06-05 03:24:47] Saving 899 values; 33703 bytes
[2024-06-05 03:24:48] Saving 899 values; 33703 bytes
[2024-06-05 03:24:48] Saving 899 values; 33703 bytes
[2024-06-05 03:25:24] Saving 899 values; 33703 bytes
[2024-06-05 03:25:59] Saving 899 values; 33738 bytes
[2024-06-05 03:26:04] Saving 899 values; 33703 bytes
[2024-06-05 03:29:50] Saving 899 values; 33725 bytes
[2024-06-05 03:30:24] Saving 899 values; 33725 bytes
[2024-06-05 03:31:24] Saving 899 values; 33725 bytes
